Coaster_Name,Length,Speed,Location,Status,Manufacturer,Height_Restriction,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,speed_mph,height_ft,Inversions,Gforce
Tranan,"1,640.4 ft (500.0 m)",24.9 mph (40.1 km/h),Skara Sommarland,Operating,S&S – Sansei Technologies,110,2009,58.41,13.55,Steel,2009-05-29,24.9,,0,2.5
Wooden Coaster - Fireball,"3,819 ft (1,164 m)",56 mph (90 km/h),Happy Valley Shanghai,Operating,Martin & Vleminckx,0,2009,31.0987,121.214,Wood,2009-08-16,56.0,,0,
Air Grover,,,"Tampa, Florida, U.S.",Operating,,0,2010,28.0379,-82.4216,Other,,,,0,
Battlestar Galactica (roller coaster),,51.0 mph (82.1 km/h),Other,Operating,Vekoma,125,2010,1.2541,103.8223,Steel,2010-03-18,51.0,,5,
Canopy Flyer,,,Universal Studios Singapore,Operating,Setpoint Inc.,0,2010,1.2534,103.824,Steel,2010-03-18,,,0,
Ednör – L'Attaque,"2,260.5 ft (689.0 m)",49.7 mph (80.0 km/h),Other,,Vekoma,132,2010,,,Steel,,49.7,,5,3.1
Enchanted Airways,"350 m (1,150 ft)",45.9 km/h (28.5 mph),Universal Studios Singapore,Operating,Vekoma,0,2010,1.255,103.8222,Steel,2010-03-18,28.5,42.7,0,
Fiorano GT Challenge,"3,543 ft (1,079.9 m)",59 mph (95.0 km/h),Other,Operating,Maurer AG,130,2010,24.4864,54.6042,Steel,2010-11-04,59.0,,0,1.5
Formula Rossa,"2,000 m (6,562 ft)",240 km/h (149.1 mph),Ferrari World Abu Dhabi,Operating,Intamin,140,2010,24.4842,54.6124,Steel,2010-11-04,149.1,170.6,0,4.8
Huracan (Belantis),"560 m (1,840 ft)",85 km/h (53 mph),Belantis,Operating,Gerstlauer,130,2010,51.2531,12.3125,Steel,2010-06-26,52.8,105.0,5,4.3
Intimidator (roller coaster),"5,316 ft (1,620 m)",75 mph (121 km/h),Carowinds,Operating,Bolliger & Mabillard,137,2010,35.1031,-80.9394,Steel,2010-03-27,75.0,,0,4.3
Intimidator 305,"5,100 ft (1,554 m)",90 mph (145 km/h),Kings Dominion,Operating,Intamin,137,2010,37.8375,-77.4397,Steel,2010-04-02,90.0,,0,
Joris en de Draak,"810 m (2,657 ft)",75.0 km/h (47 mph),Other,Operating,Great Coasters International,110,2010,51.6469,5.0525,Wood,2010-07-01,46.6,82.0,0,
The Monster (Walygator Parc),"3,937 ft (1,200 m)",55.9 mph (90.0 km/h),Other,,Bolliger & Mabillard,140,2010,49.2299,6.1581,Steel,,55.9,,6,
RC Racer,82 m (269 ft),,Other,,Intamin,120,2010,,,Steel,,,82.0,0,
Sky Rocket,"2,100 ft (640 m)",50 mph (80 km/h),Kennywood Park,Operating,Premier Rides,132,2010,40.3864,-79.8647,Steel,2010-06-29,50.0,,3,0.8
Space Fantasy – The Ride,"585 m (1,919 ft)",,Universal Studios Japan,Operating,Mack Rides,102,2010,34.6653,135.4357,Steel,2010-03-18,,23.0,0,
Thirteen (roller coaster),"2,480 ft (760 m)",42 mph (68 km/h),Alton Towers,Operating,Intamin,120,2010,52.9847,-1.8904,Steel,2010-03-20,42.0,,0,3.2
Viking Voyage,,,"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,0,2010,28.3303,-81.5147,Other,,,,0,
Woodstock Express (Carowinds),"1,356 ft (413 m)",36 mph (58 km/h),Carowinds,Operating,Philadelphia Toboggan Coasters,102,2010,35.101,-80.9394,Wood,1975-01-01,36.0,,0,
Woodstock Express (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Kings Island,Operating,Philadelphia Toboggan Coasters,102,2010,39.3432,-84.2693,Wood,1972-01-01,35.0,,0,
Accelerator (roller coaster),180 m (590 ft),60 km/h (37 mph),Drayton Manor,Operating,Vekoma,100,2011,52.6108,-1.7134,Steel,2011-04-21,37.3,65.6,0,3.0
Black Diamond (roller coaster),,,Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,107,2011,40.8797,-76.5068,Steel,2011-10-08,,,0,
Blue Flyer,,,Blackpool Pleasure Beach,Operating,,0,2011,53.7902,-3.0539,Other,1934-01-01,,,0,
BomBora (Lagoon),"1,040[2] ft (320 m)",31[1] mph (50 km/h),Lagoon,Operating,Lagoon,0,2011,40.9855,-111.8923,Steel,2011-04-02,31.0,,0,
BuzzSaw (roller coaster),150 m (490 ft),105 km/h (65 mph),Dreamworld,Removed,Maurer AG,130,2011,-27.8623,153.3149,Steel,2011-09-17,65.2,151.6,2,5.0
Cheetah Hunt,"4,429 ft (1,350 m)",60 mph (97 km/h),Busch Gardens Tampa Bay,Operating,Intamin,0,2011,28.0342,-82.42,Steel,2011-05-27,60.0,,1,4.0
Dare Devil Dive,"2,099 ft (640 m)",52 mph (84 km/h),Six Flags Over Georgia,Operating,Gerstlauer,122,2011,33.7703,-84.5479,Steel,2011-05-28,52.0,,3,
Eurofighter (Zoosafari Fasanolandia),"395 m (1,296 ft)",70 km/h (43 mph),Zoosafari Fasanolandia,Operating,Gerstlauer,0,2011,40.8303,17.3398,Steel,2011-08-06,43.5,75.5,2,
Green Lantern Coaster,"488 m (1,601 ft)",66 km/h (41 mph),Warner Bros. Movie World,Operating,S&S – Sansei Technologies,140,2011,-27.9073,153.3136,Steel,2011-12-23,41.0,108.3,2,3.5
Hair Raiser,"2,788.8 ft (850.0 m)",88 km/h (55 mph),Ocean Park Hong Kong,Operating,Bolliger & Mabillard,140,2011,22.2357,114.1725,Steel,2011-12-08,54.7,,4,4.0
Krake,"476 m (1,562 ft)",103 km/h (64 mph),Heide Park,Operating,Bolliger & Mabillard,140,2011,53.0247,9.879,Steel,2011-04-16,64.0,134.5,1,
New Texas Giant,"4,200 ft (1,300 m)",65 mph (105 km/h),Six Flags Over Texas,Operating,Rocky Mountain Construction,122,2011,32.7564,-97.0731,Steel,2011-04-22,65.0,,0,4.2
Raptor (Gardaland),"2,526.3 ft (770.0 m)",90 km/h (56 mph),Gardaland,Operating,Bolliger & Mabillard,140,2011,45.4571,10.7119,Steel,2011-04-01,55.9,,3,
Road Runner Express (Six Flags Magic Mountain),679.2 ft (207.0 m),21.7 mph (34.9 km/h),Other,,Vekoma,0,2011,,,Steel,,21.7,,0,
Sky Scrapper,"2,805.1 ft (855.0 m)",54.7 mph (88.0 km/h),World Joyland,Operating,Bolliger & Mabillard,140,2011,31.4975,120.0411,Steel,2011-04-30,54.7,,5,3.3
Soarin' Eagle,"1,282.8 ft (391.0 m)",25.7 mph (41.4 km/h),Other,,Zamperla,132,2011,,,Steel,,25.7,,2,3.3
Takabisha,"1,000 m (3,300 ft)",100 km/h (62 mph),Fuji-Q Highland,Operating,Gerstlauer,125,2011,35.4853,138.78,Steel,2011-07-16,62.1,141.1,7,
Tiger Express (roller coaster),"370 m (1,210 ft)",45 km/h (28 mph),Other,,Mack Rides,0,2011,,,Steel,,28.0,45.9,0,
Timber Drop,,66 km/h (41 mph),Fraispertuis City,Operating,S&S – Sansei Technologies,120,2011,48.3242,6.7295,Steel,2011-07-12,41.0,96.0,2,
Untamed (roller coaster),"1,181 ft (360 m)",44 mph (71 km/h),Canobie Lake Park,Operating,Gerstlauer,122,2011,42.7962,-71.249,Steel,2011-06-11,44.0,,3,4.5
Van Helsing's Factory,"400 m (1,300 ft)",36 km/h (22 mph),Movie Park Germany,Operating,Gerstlauer,120,2011,51.6221,6.9752,Steel,2011-06-18,22.4,26.2,0,4.0
Vipère (roller coaster),825 ft (251 m),37 mph (60 km/h),Other,,Intamin,132,2011,,,Steel,2011-07-01,37.0,,0,
Wood Coaster (Mountain Flyer),"4,817 ft (1,468 m)",61.2 mph (98.5 km/h),OCT East,Operating,Great Coasters International,0,2011,22.6145,114.2968,Wood,2011-07-19,61.2,,0,
Wooden Warrior,"1,200 ft (370 m)",35 mph (56 km/h),Quassy Amusement Park,Operating,The Gravity Group,102,2011,41.5264,-73.1509,Wood,2011-04-23,35.0,,0,
Big Grizzly Mountain Runaway Mine Cars,"1,100 m (3,600 ft)",72 km/h (45 mph),Hong Kong Disneyland,Under Maintenance,Vekoma,112,2012,22.3102,114.0425,Steel,2012-07-14,44.7,,0,
Cliffhanger (Colorado roller coaster),,34 mph (55 km/h),Other,,S&MC,122,2012,,,Steel,,34.0,,0,
Dauling Dragon,"3,914 ft (1,193.0 m)",,Other,Operating,Martin & Vleminckx,0,2012,30.5912,114.3879,Wood,2012-04-29,,,0,
Dinoconda,"3,444.9 ft (1,050.0 m)",78.3 mph (126.0 km/h),China Dinosaurs Park,Operating,S&S – Sansei Technologies,0,2012,31.8245,119.9955,Steel,2012-04-29,78.3,,3,
Dragonfly (roller coaster),"361 m (1,184 ft)",50 km/h (31 mph),Duinrell,Operating,Gerstlauer,100,2012,52.1472,4.3785,Steel,2012-03-31,31.1,49.2,0,2.9
Firebird (roller coaster),"2,900 ft (880 m)",55 mph (89 km/h),Other,,Bolliger & Mabillard,137,2012,,,Steel,,55.0,,2,
Goliath (Six Flags New England),"1,204.1 ft (367.0 m)",65.6 mph (105.6 km/h),Other,,Vekoma,137,2012,,,Steel,,65.6,,3,4.5
Iron Shark,"1,246 ft (380 m)",52 mph (84 km/h),Galveston Island Historic Pleasure Pier,Operating,Gerstlauer,122,2012,29.2858,-94.7895,Steel,2012-06-01,52.0,,4,
Leviathan (Canada's Wonderland),"1,672 m (5,486 ft)",148 km/h (92 mph),Canada's Wonderland,Operating,Bolliger & Mabillard,137,2012,43.8445,-79.5424,Steel,2012-05-06,92.0,306.1,0,4.5
Manta (SeaWorld San Diego),"2,835 ft (864 m)",43 mph (69 km/h),SeaWorld San Diego,Operating,Mack Rides,122,2012,32.7671,-117.228,Steel,2012-05-26,43.0,,0,3.5
OzIris,"3,280 ft (1,000 m)",56 mph (90 km/h),Parc Astérix,Operating,Bolliger & Mabillard,130,2012,49.1342,2.5663,Steel,2012-04-07,56.0,,5,
Polar X-plorer,,65 km/h (40 mph),Legoland Billund,Operating,Zierer,0,2012,55.737,9.1218,Steel,2012-04-29,40.4,65.6,0,
Shambhala (roller coaster),"1,564 m (5,131 ft)",134 km/h (83 mph),PortAventura Park,Operating,Bolliger & Mabillard,140,2012,41.0847,1.1564,Other,2012-05-12,83.3,249.3,0,3.8
Skyrush,"3,600 ft (1,100 m)",75 mph (121 km/h),Hersheypark,Operating,Intamin,137,2012,,,Steel,2012-05-26,75.0,,0,5.0
Stinger (roller coaster),"1,013.8 ft (309.0 m)",50 mph (80 km/h),Other,In Production,Vekoma,0,2012,,,Other,,50.0,,3,
Superman: Ultimate Flight (Six Flags Discovery Kingdom),863 ft (263 m),62 mph (100 km/h),Six Flags Discovery Kingdom,Operating,Premier Rides,132,2012,38.1386,-122.231,Steel,2012-06-30,62.0,,1,
The Swarm (roller coaster),"775 m (2,543 ft)",59 mph (95 km/h),Thorpe Park,Operating,Bolliger & Mabillard,140,2012,51.4056,-0.5154,Steel,2012-03-15,59.0,126.6,5,4.5
Triops (roller coaster),"1,013.8 ft (309.0 m)",50 mph (80 km/h),Other,In Production,Vekoma,0,2012,,,Other,,50.0,,3,
Verbolten,"2,835 ft (864 m)",53 mph (85 km/h),Busch Gardens Williamsburg,Operating,Zierer,122,2012,37.2315,-76.6449,Steel,2012-05-18,53.0,,0,
Wild Eagle,"3,127 ft (953 m)",61 mph (98 km/h),Dollywood,Operating,Bolliger & Mabillard,127,2012,35.7947,-83.5301,Steel,2012-03-24,61.0,,4,
Wild West Express Coaster,197 ft (60 m),16 mph (26 km/h),Other,,Zierer,0,2012,,,Steel,,16.0,,0,
Wodan Timbur Coaster,"3,444 ft (1,050 m)",62.1 mph (99.9 km/h),Europa-Park,Operating,Great Coasters International,120,2012,48.2614,7.7192,Wood,2012-03-31,62.1,,0,3.5
X-Flight (Six Flags Great America),"3,000 ft (910 m)",55 mph (89 km/h),Six Flags Great America,Operating,Bolliger & Mabillard,137,2012,42.3654,-87.9338,Steel,2012-05-16,55.0,,5,
Abyss (roller coaster),"630 m (2,070 ft)",85 km/h (53 mph),Adventure World,Operating,Gerstlauer,125,2013,-32.0955,115.817,Steel,2013-11-01,52.8,98.4,3,4.5
Boomerang (Six Flags St. Louis),935 ft (285 m),47 mph (76 km/h),Other,,Vekoma,122,2013,,,Steel,,47.0,,3,5.2
Coast Rider,"1,339 ft (408 m)",,Knott's Berry Farm,Operating,Mack Rides,112,2013,33.845,-118.0019,Steel,2013-05-25,,,0,
Crazy Bird,"390 m (1,280 ft)",,Happy Valley Tianjin,Operating,S&S – Sansei Technologies,0,2013,39.1847,117.4686,Steel,2013-12-22,,,2,
Deep Space (roller coaster),"1,706 ft (520 m)",42.50 mph (68.40 km/h),Adlabs Imagica,Operating,Premier Rides,132,2013,18.7647,-73.2805,Steel,2013-01-01,42.5,,2,
Flying Turns (Knoebels),"1,300 ft (400 m)",24 mph (39 km/h),Knoebels Amusement Resort,Operating,Knoebels Amusement Resort,107,2013,40.8784,-76.5051,Wood,2013-10-05,24.0,,0,
Freedom Flyer,"1,295.9 ft (395.0 m)",34.2 mph (55.0 km/h),Fun Spot America,Operating,Vekoma,0,2013,28.4662,-81.4561,Steel,2013-06-08,34.2,,0,2.5
Full Throttle (roller coaster),"2,200 ft (670 m)",70 mph (110 km/h),Six Flags Magic Mountain,Operating,Premier Rides,137,2013,34.4232,-118.5972,Steel,2013-06-22,70.0,,2,4.0
GateKeeper (roller coaster),"4,164 ft (1,269 m)",67 mph (108 km/h),Cedar Point,Operating,Bolliger & Mabillard,132,2013,41.4806,-82.679,Steel,2013-05-11,67.0,,6,4.0
Gold Striker,"3,197 ft (974 m)",53.7 mph (86.4 km/h),California's Great America,Operating,Great Coasters International,122,2013,37.3967,-121.9749,Wood,2013-05-31,53.7,,0,4.2
Iron Rattler,"3,266 ft (995 m)",70 mph (110 km/h),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,122,2013,,,Steel,2013-05-25,70.0,,1,
The Joker (Six Flags México),"1,351 ft (412 m)",31 mph (50 km/h),Other,,Gerstlauer,107,2013,19.2951,-99.2082,Steel,,31.0,,0,
Karacho,"700 m (2,300 ft)",90 km/h (56 mph),Erlebnispark Tripsdrill,Operating,Gerstlauer,125,2013,49.0377,9.0544,Steel,2013-07-10,55.9,98.4,4,
Nitro (Imagicaa),"2,800 ft (850 m)",65.2 mph (104.9 km/h),Imagicaa,Operating,Bolliger & Mabillard,132,2013,18.7664,73.28,Steel,2013-10-01,65.2,,5,
Orkanen,"1,486.2 ft (453.0 m)",46.6 mph (75.0 km/h),Fårup Sommarland,Operating,Vekoma,105,2013,57.27,9.6453,Steel,2013-06-05,46.6,,0,3.0
Outlaw Run,"2,937 ft (895 m)",68 mph (109 km/h),Silver Dollar City,Operating,Rocky Mountain Construction,122,2013,36.6681,-93.34,Wood,2013-03-15,68.0,,3,
Ring Racer,"1,212 m (3,976 ft)",160.0 km/h (99.4 mph),Nürburgring,Closed,S&S - Sansei Technologies,140,2013,50.3361,6.9492,Steel,2013-10-31,99.4,123.0,0,5.6
The Smiler,"3,838.6 ft (1,170.0 m)",52.8 mph (85.0 km/h),Alton Towers,Operating,Gerstlauer,140,2013,52.9872,-1.8953,Steel,2013-05-31,52.8,,14,4.8
Smoky Mountain Alpine Coaster,,27 mph (43 km/h),Other,Operating,Wiegand,142,2013,35.7934,-83.5965,Steel,2013-08-03,27.0,,0,
Storm Coaster,"470 m (1,540 ft)",70 km/h (43 mph),Sea World (Australia),Operating,Mack Rides,110,2013,-27.9563,153.4258,Steel,2013-12-06,43.5,91.9,0,3.0
White Lightning (roller coaster),"2,032 ft (619 m)",44.3 mph (71.3 km/h),Fun Spot America,Operating,Great Coasters International,117,2013,28.4662,-81.4564,Wood,2013-06-07,44.3,,0,
Wild Kitty,,,Other,,Allan Herschell Company,0,2013,,,Steel,,,,0,
Woodstock Express (Kings Dominion),"1,385 ft (422 m)",35 mph (56 km/h),Kings Dominion,Operating,Philadelphia Toboggan Coasters,102,2013,37.8405,-77.4422,Wood,1974-01-01,35.0,,0,
Alpina Blitz,"719 m (2,359 ft)",83 km/h (52 mph),Nigloland,Operating,Mack Rides,0,2014,48.2617,4.6149,Steel,2014-04-12,51.6,108.3,0,4.3
Arthur – The Ride,"550 m (1,800 ft)",31 km/h (19 mph),Europa-Park,Operating,Mack Rides,100,2014,48.2639,7.7237,Steel,2014-06-01,19.3,44.3,0,
Banshee (roller coaster),"4,124 ft (1,257 m)",68 mph (109 km/h),Kings Island,Operating,Bolliger & Mabillard,132,2014,39.3457,-84.2655,Steel,2014-04-18,68.0,,7,
The Bat (Kings Island; opened 1993),"2,352 ft (717 m)",51 mph (82 km/h),Kings Island,Operating,Arrow Dynamics,122,2014,39.3476,-84.2652,Steel,1993-04-09,51.0,,0,2.9
Dragon Wagon (Indiana Beach),,,Indiana Beach,Removed,Wisdom Rides,0,2014,40.79,-86.7713,Steel,2014-08-01,,,0,
Family Inverted Coaster (Happy Valley Shanghai),"1,328.8 ft (405.0 m)",30.4 mph (48.9 km/h),Happy Valley Shanghai,Operating,Bolliger & Mabillard,0,2014,31.0973,121.2087,Steel,2014-07-05,30.4,,0,
FireChaser Express,"2,427 ft (740 m)",34.5 mph (55.5 km/h),Dollywood,Operating,Gerstlauer,0,2014,35.7947,-83.5301,Steel,2014-03-22,34.5,,0,
Flug der Dämonen,"772 m (2,533 ft)",100 km/h (62 mph),Heide Park Resort,Operating,Bolliger & Mabillard,140,2014,53.0262,9.8796,Steel,2014-03-29,62.1,131.2,5,4.0
Goliath (Six Flags Great America),"3,100 ft (940 m)",72 mph (116 km/h),Six Flags Great America,Operating,Rocky Mountain Construction,122,2014,42.3661,-87.9311,Other,2014-06-19,72.0,,2,
Harry Potter and the Escape from Gringotts,"600 m (2,000 ft)",,Universal Studios Florida,Operating,Intamin,107,2014,28.4803,-81.47,Steel,2014-07-08,,,0,
Helix (roller coaster),"1,381 m (4,531 ft)",100 km/h (62 mph),Liseberg,Operating,Mack Rides,130,2014,57.6953,11.9908,Steel,2014-04-26,62.1,134.5,7,4.3
Lightning Run,"2,500 ft (760 m)",55 mph (89 km/h),Kentucky Kingdom,Operating,Chance Rides,0,2014,38.1965,-85.744,Other,2014-05-24,55.0,,0,
El Loco (Adventuredome),"1,300 ft (400 m)",45 mph (72 km/h),Adventuredome,Operating,S&S – Sansei Technologies,122,2014,36.1375,-115.1666,Steel,2014-02-18,45.0,,2,
Medusa Steel Coaster,"3,000 ft (910 m)",58 mph (93 km/h),Six Flags México,Operating,Rocky Mountain Construction,130,2014,19.2945,-99.2112,Steel,2014-06-14,58.0,,3,
Parrot Coaster,"1,278 m (4,193 ft)",67 mph (108 km/h),Chime-Long Ocean Kingdom,Operating,Bolliger & Mabillard,140,2014,22.1016,113.529,Steel,2014-01-25,67.0,,3,
Roar-o-Saurus,"1,240 ft (380 m)",33 mph (53 km/h),Story Land,Operating,The Gravity Group,0,2014,44.1161,-71.1828,Wood,2014-05-24,33.0,,0,
Seven Dwarfs Mine Train,"2,000 ft (610 m)",34 mph (55 km/h),Other,,Vekoma,0,2014,,,Steel,,34.0,,0,
Thunderbird (Holiday World),"3,035 ft (925 m)",60 mph (97 km/h),Holiday World & Splashin' Safari,Operating,Bolliger & Mabillard,132,2014,38.1242,-86.909,Steel,2015-04-25,60.0,,4,
Thunderbolt (2014 roller coaster),"2,234 ft (681 m)",56 mph (90 km/h),Luna Park,Operating,Zamperla,127,2014,40.5735,-73.9826,Steel,2014-06-14,56.0,,4,4.3
Twist Coaster Robin,"313 m (1,027 ft)",62 km/h (39 mph),Yomiuriland,Removed,Sansei Technologies,0,2014,35.6253,139.5194,Steel,2014-03-19,38.5,62.3,2,3.9
Wonder Mountain's Guardian,"304.8 m (1,000 ft)",,Canada's Wonderland,Operating,Art Engineering,107,2014,43.84,-79.54,Steel,2014-05-24,,60.0,0,
Zimerman (roller coaster),"1,565.0 ft (477.0 m)",55.0 mph (88.5 km/h),Other,,Arrow Dynamics,0,2014,,,Steel,,55.0,,3,
Acrobat (roller coaster),"3,349.8 ft (1,021.0 m)",55.9 mph (90.0 km/h),Nagashima Spa Land,Operating,Bolliger & Mabillard,135,2015,,,Steel,2015-07-18,55.9,,4,
Baron 1898,"501 m (1,644 ft)",90 km/h (56 mph),Efteling,Operating,Bolliger & Mabillard,132,2015,51.6482,5.0508,Steel,2015-07-01,55.9,98.4,2,
Batman: The Ride (S&S Free Spin),"1,019 ft (311 m)",38 mph (61 km/h),Other,,S&S – Sansei Technologies,122,2015,,,Steel,,38.0,,6,
Cannibal (roller coaster),"2,735 ft (834 m)",70 mph (110 km/h),Lagoon,Operating,Lagoon Corporation,122,2015,40.9874,-111.8955,Steel,2015-07-02,70.0,,4,4.2
Fury 325,"6,602 ft (2,012 m)",95 mph (153 km/h),Carowinds,Operating,Bolliger & Mabillard,137,2015,35.1055,-80.9425,Steel,2015-03-28,95.0,,0,
Harpy (Xishuangbanna Theme Park),"2,903.5 ft (885.0 m)",52.8 mph (85.0 km/h),Xishuangbanna Theme Park,Closed,Bolliger & Mabillard,0,2015,22.0277,100.742,Steel,2015-09-26,52.8,,2,
Impulse (roller coaster),"1,975 ft (602 m)",55 mph (89 km/h),Knoebels Amusement Resort,Operating,Zierer,122,2015,40.8798,-76.5018,Steel,2015-04-25,55.0,,4,
Jumbo Jet (Chelyuskintsev Park),,,Other,,Anton Schwarzkopf,0,2015,,,Steel,,,,0,
Junker (roller coaster),"2,821.5 ft (860.0 m)",64.9 mph (104.4 km/h),PowerPark,Operating,Gerstlauer,130,2015,63.2309,22.8555,Steel,2015-05-30,64.9,,3,4.5
Laff Trakk,"1,400 ft (430 m)",40 mph (64 km/h),Hersheypark,Operating,Maurer AG,107,2015,40.2935,-76.6551,Steel,2015-05-23,40.0,,0,
Oblivion: The Black Hole,"1,856.9 ft (566.0 m)",62.2 mph (100.1 km/h),Gardaland,Operating,Bolliger & Mabillard,140,2015,45.4582,10.7111,Steel,2015-03-28,62.2,,2,
Octonauts Rollercoaster Adventure,469.2 ft (143.0 m),,Alton Towers,Operating,Zamperla,0,2015,,,Steel,2015-03-21,,,0,
Puss in Boots' Giant Journey,"426 m (1,398 ft)",,Universal Studios Singapore,Operating,Zamperla,100,2015,1.2545,103.8245,Steel,2015-04-08,,55.8,0,
Rewind Racers,593.8 ft (181.0 m),31.1 mph (50.1 km/h),Adventure City,Operating,Gerstlauer,0,2015,33.8151,-117.993,Steel,2015-06-06,31.1,,0,
T3 (roller coaster),"2,171.9 ft (662.0 m)",49.7 mph (80.0 km/h),Kentucky Kingdom,Operating,Vekoma,132,2015,38.1941,-85.747,Steel,1995-04-08,49.7,,5,
Tempesto,863 ft (263 m),62 mph (100 km/h),Busch Gardens Williamsburg,Operating,Premier Rides,137,2015,37.2347,-76.6421,Steel,2015-04-25,62.0,,1,
The Cú Chulainn Coaster,"1,092 m (3,583 ft)",90 km/h (56 mph),Tayto Park,Operating,The Gravity Group,0,2015,53.5427,-6.4628,Wood,2015-06-06,55.9,105.0,0,
The Oath of Kärnan,"1,235 m (4,052 ft)",127 km/h (79 mph),Hansa-Park,Operating,Gerstlauer,130,2015,54.0769,10.78,Steel,2015-07-01,78.9,239.5,1,5.0
Turbulence (roller coaster),"1,253.3 ft (382.0 m)",40 mph (64 km/h),Adventureland (New York),Operating,Mack Rides,112,2015,40.7525,-73.4197,Steel,2015-05-22,40.0,,0,
Twisted Colossus,"4,990 ft (1,520 m)",57 mph (92 km/h),Six Flags Magic Mountain,Operating,Rocky Mountain Construction,122,2015,34.4278,-118.5975,Steel,2015-05-23,57.0,,2,
Wicked Cyclone,"3,320 ft (1,010 m)",55 mph (89 km/h),Six Flags New England,Operating,Rocky Mountain Construction,122,2015,42.0403,-72.6156,Steel,2015-05-24,55.0,,3,
ZDT's Amusement Park,,65 km/h (40 mph),ZDT's Amusement Park,Operating,The Gravity Group,0,2015,,,Wood,2015-10-17,40.4,,0,
Cobra's Curse,"2,100 ft (640 m)",40 mph (64 km/h),Busch Gardens Tampa Bay,Operating,Mack Rides,107,2016,,,Steel,2016-06-17,40.0,,0,
Flying Aces (roller coaster),"1,500 m (4,921 ft)",120 km/h (75 mph),Ferrari World Abu Dhabi,Operating,Intamin,130,2016,,,Steel,2016-02-24,74.6,206.7,1,5.0
The Flying Dinosaur,"3,687.7 ft (1,124.0 m)",62 mph (100 km/h),Universal Studios Japan,Operating,Bolliger & Mabillard,132,2016,34.6634,135.4305,Steel,2016-03-18,62.0,,5,
Formuła (Energylandia),"560 m (1,840 ft)",79.2 km/h (49.2 mph),Energylandia,Operating,Vekoma,120,2016,,,Steel,2016-06-25,49.2,81.0,3,3.8
The Joker (Six Flags Discovery Kingdom),"3,200 ft (980 m)",53 mph (85 km/h),Six Flags Discovery Kingdom,Operating,Rocky Mountain Construction,0,2016,,,Other,2016-05-29,53.0,,3,
Lightning Rod (roller coaster),"3,800 ft (1,200 m)",73 mph (117 km/h),Dollywood,Operating,Rocky Mountain Construction,122,2016,,,Steel,2016-06-13,73.0,,0,3.5
Lost Gravity (roller coaster),"680 m (2,230 ft)",87 km/h (54 mph),Walibi Holland,Operating,Mack Rides,140,2016,52.4424,5.7663,Steel,2016-03-24,54.1,105.0,2,4.3
Mako (roller coaster),"4,760 ft (1,450 m)",73 mph (117 km/h),SeaWorld Orlando,Operating,Bolliger & Mabillard,137,2016,28.4095,-81.4591,Steel,2016-06-10,73.0,,0,
The Monster (Adventureland),"762 m (2,500 ft)",105 km/h (65 mph),Adventureland (Iowa),Operating,Gerstlauer,122,2016,41.6518,-93.5014,Steel,2016-06-04,65.2,133.2,5,
Pulsar (roller coaster),217 m (712 ft),101 km/h (63 mph),Walibi Belgium,Operating,Mack Rides,0,2016,50.6988,4.5903,Steel,2016-06-04,62.8,147.6,0,
Raik,689 ft (210 m),38.5 mph (62.0 km/h),Phantasialand,Operating,Vekoma,0,2016,50.7996,6.8828,Steel,2016-06-30,38.5,,0,
Recoil (Wonderla Hyderabad),935 ft (285 m),47 mph (76 km/h),Other,,Vekoma,122,2016,,,Steel,,47.0,,3,
Taron (roller coaster),"1,320 m (4,330 ft)",117 km/h (73 mph),Phantasialand,Operating,Intamin,130,2016,50.7996,6.8828,Steel,2016-06-30,72.7,98.4,0,
The Joker (Six Flags Great Adventure),"1,019 ft (311 m)",38 mph (61 km/h),Other,,S&S – Sansei Technologies,122,2016,,,Steel,,38.0,,6,
Tron Lightcycle Power Run,"3,169.3 ft (966.0 m)",59.3[1] mph (95.4 km/h),Other,,Vekoma,122,2016,,,Steel,2016-06-16,59.3,,0,4.0
Valravn (roller coaster),"3,415 ft (1,041 m)",75 mph (121 km/h),Cedar Point,Operating,Bolliger & Mabillard,132,2016,41.4813,-82.684,Steel,2016-05-07,75.0,,3,
Wildfire (Kolmården Wildlife Park),"1,265 m (4,150 ft)",115 km/h (71 mph),Kolmården Wildlife Park,Operating,Rocky Mountain Construction,0,2016,58.6653,16.4664,Wood,2016-06-28,71.5,183.7,3,4.0
Dawson Duel (roller coaster),"1,607.6 ft (490.0 m)",24.9 mph (40.1 km/h),Other,Operating,Wiegand,100,2017,50.8483,2.9475,Steel,2017-05-05,24.9,,0,
DC Rivals HyperCoaster,"1,400.0 m (4,593.2 ft)",115.1 km/h (71.5 mph),Warner Bros. Movie World,Operating,Mack Rides,130,2017,-27.908,153.314,Steel,2017-09-22,71.5,202.1,0,4.3
Gold Rush (Slagharen),,59 mph (95 km/h),Attractiepark Slagharen,Operating,Gerstlauer,130,2017,52.6244,6.5619,Steel,2017-04-13,59.0,,2,
Hydrus (roller coaster),"1,050 ft (320 m)",45 mph (72 km/h),Casino Pier,Operating,Gerstlauer,0,2017,39.9428,-74.0721,Steel,2017-05-26,45.0,,3,
